===================
solver, cost, time, n_exp, n_gen, map_file, scen_file, agents_limit, conflict_bound, success 
CBSSolver, 91, 0.001, 1, 1, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 5, -, success
MetaAgCBSWithCBS, 91, 0.006, 1, 1, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 5, 1, success
MetaAgCBSWithCBS, 91, 0.005, 1, 1, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 5, 5, success
MetaAgCBSWithCBS, 91, 0.006, 1, 1, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 5, 10, success
MetaAgCBSWithCBS, 91, 0.003, 1, 1, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 5, 100, success
CBSSolver, 414, 0.015, 3, 5, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 10, -, success
MetaAgCBSWithCBS, 322, 0.031, 4, 6, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 10, 1, success
MetaAgCBSWithCBS, 414, 0.013, 4, 7, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 10, 5, success
MetaAgCBSWithCBS, 414, 0.015, 4, 7, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 10, 10, success
MetaAgCBSWithCBS, 414, 0.015, 4, 7, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 10, 100, success
CBSSolver, 432, 0.253, 5, 9, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 15, -, success
MetaAgCBSWithCBS, 432, 0.223, 5, 9, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 15, 1, success
MetaAgCBSWithCBS, 432, 0.223, 5, 9, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 15, 5, success
MetaAgCBSWithCBS, 432, 0.212, 5, 9, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 15, 10, success
MetaAgCBSWithCBS, 432, 0.233, 5, 9, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 15, 100, success
CBSSolver, -, 300.01, 21788, 43577, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 20, -, timeout
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 20, 1, Fail:too many values to unpack (expected 4)
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 20, 5, Fail:too many values to unpack (expected 4)
MetaAgCBSWithCBS, -, 301.99, 20, 21, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 20, 10, timeout
MetaAgCBSWithCBS, -, 302.51, 110, 201, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 20, 100, timeout
CBSSolver, -, 300.08, 9792, 17875, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 25, -, timeout
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 25, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, 301.9, 40, 60, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 25, 5, timeout
MetaAgCBSWithCBS, -, 302.34, 49, 79, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 25, 10, timeout
MetaAgCBSWithCBS, -, 302.87, 155, 291, more/maps/1/arena.map, more/scenarios/1/arena.map.scen, 25, 100, timeout
CBSSolver, 671, 0.008, 1, 1, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 5, -, success
MetaAgCBSWithCBS, 671, 0.012, 1, 1, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 5, 1, success
MetaAgCBSWithCBS, 671, 0.022, 1, 1, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 5, 5, success
MetaAgCBSWithCBS, 671, 0.012, 1, 1, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 5, 10, success
MetaAgCBSWithCBS, 671, 0.012, 1, 1, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 5, 100, success
CBSSolver, 1796, 0.315, 2, 3, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 10, -, success
MetaAgCBSWithCBS, 1796, 0.426, 2, 3, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 10, 1, success
MetaAgCBSWithCBS, 1796, 0.319, 2, 3, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 10, 5, success
MetaAgCBSWithCBS, 1796, 0.395, 2, 3, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 10, 10, success
MetaAgCBSWithCBS, 1796, 0.333, 2, 3, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 10, 100, success
CBSSolver, 3086, 0.856, 6, 11, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 15, -, success
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 15, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, 2779, 2.928, 18, 34, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 15, 5, success
MetaAgCBSWithCBS, 3086, 2.811, 20, 39, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 15, 10, success
MetaAgCBSWithCBS, 3086, 2.706, 20, 39, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 15, 100, success
CBSSolver, 3515, 5.674, 12, 22, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 20, -, success
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 20, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 20, 5, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, 3031, 5.269, 67, 132, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 20, 10, success
MetaAgCBSWithCBS, 3043, 35.939, 393, 784, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 20, 100, success
CBSSolver, -, 300.03, 1733, 3459, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 25, -, timeout
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 25, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 25, 5, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 25, 10, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 25, 100, Fail:object of type 'int' has no len()
CBSSolver, 687, 0.008, 1, 1, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 5, -, success
MetaAgCBSWithCBS, 687, 0.010, 1, 1, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 5, 1, success
